Poisson,Taux de peche (%),Periode de peche,Taille (cm),Appat,Technique/Leurre,Coin de peche,Coin de peche (mer)
Bar,23,ete printemps automne,42,eperlan / lancon / maquereau,Leurre Souple,Plage de Saint Enogat / Plage de Port Blanc / Pointe de la Roche Pelee / Plage de Port Riou / Plage de La Malouine / Pointe de Moulinet / Plage de Prieure / Plage de la Vicomte,Le petit Be /  La Merciere / Chenal Balise en face du port de dinard / Aimable Grenot
Calamar,9,Toute l'annee,11,Sardine,Turlutte,Plage de Saint Enogat / Plage de Port Blanc / Pointe de la Roche Pelee / Plage de Port Riou / Plage de La Malouine / Pointe de Moulinet / Plage de Prieure / Plage de la Vicomte,Le petit Be /  La Merciere / Chenal Balise en face du port de dinard / Aimable Grenot
Lieu jaune,9,Toute l'annee,30,vers / petits poissons / crustaces,Leurre Souple,Plage de Saint Enogat / Plage de Port Blanc / Pointe de la Roche Pelee / Plage de Port Riou / Plage de La Malouine / Pointe de Moulinet / Plage de Prieure / Plage de la Vicomte,Le petit Be /  La Merciere / Chenal Balise en face du port de dinard / Aimable Grenot
Crevette bouquet,8,Toute l'annee,5,Aucun,Haveneau,Plage de l'ecluse / Crique de la Roche Pelee,Rade de Dinard
Sole,7,Toute l'annee,24,vers / mollusques,Filet / Surfcasting,Plage de Saint Enogat / Plage de Port Blanc / Pointe de la Roche Pelee / Plage de Port Riou / Plage de La Malouine / Pointe de Moulinet / Plage de Prieure / Plage de la Vicomte,Le petit Be /  La Merciere / Chenal Balise en face du port de dinard / Aimable Grenot
Anguille de mer,6,Toute l'annee,40,vers / morceaux de viandes / poissons morts,Chalut / Nasses / Ligne,Aù bord,En mer
Maquereau,4,hiver printemps,20,petits poissons,Chalut / traîne / mitraillette / Leurre Souple,Aù bord,En mer
Daurade royale,4,ete,23,vers / mollusques / crustaces,Surfcasting / Calee,Plage de Saint Enogat / Plage de Port Blanc / Pointe de la Roche Pelee / Plage de Port Riou / Plage de La Malouine / Pointe de Moulinet / Plage de Prieure / Plage de la Vicomte,Le petit Be /  La Merciere / Chenal Balise en face du port de dinard / Aimable Grenot
Capelan,2,printemps,Aucune restriction,Aucun,Filet / Senne / Fascine,Aù bord,En mer
Eperlan,1,Toute l'annee,Aucune restriction,vers / morceaux de viandes,"Balance / Mitraillette ",Aù bord,
Dorade grise,1,Toute l'annee,23,Sardine / Coque / Calamar / Maquereau,Soutenir / Mouillage / Derive,Aù bord,En mer
Homard,1,printemps ete,8.7,Boette,Casier,Aù bord,En mer